GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-gateway,com.fintrack.gateway.error,GlobalErrorAttributes,0,28,0,0,0,6,0,2,0,2
api-gateway,com.fintrack.gateway.controller,FallbackController,0,46,0,0,0,14,0,6,0,6
api-gateway,com.fintrack.gateway.jwt,JwtTokenProvider,0,99,0,12,0,24,0,12,0,6
api-gateway,com.fintrack.gateway.filter,JwtAuthGatewayFilterFactory,0,92,0,2,0,21,0,5,0,4
api-gateway,com.fintrack.gateway.filter,CorrelationIdGlobalFilter,0,57,0,4,0,12,0,6,0,4
